NAME,SYSBRANCHID,SYSWAREHOUSEID,NAME,SYSBRANCHID,TRANDATE,TRANNO,GRANDTOTAL,CASH,TOTALPAYBYCASH,TOTALPAYBYCHEQUE,TOTALPAYBYCREDITCARD,TOTALPAYBYCASHCARD,TOTALPAYBYTRANFER,TOTALWITHHOLDINGTAX,TOTALCASHDISCOUNT,DEPOSITDISCOUNT,TOTAL,TOTALVAT,FCANCEL,SYSWAREHOUSEID,FCREDITOR,FINCOME,FSTOCKMAIN,SYSSALEID,SYSPERSONID,CC_CHEQUEDATE,CF_TRANDATE,COMPANY_NAME
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:12:07,OSVS6908000031,10.0000,20.0000,10.0000,0,0,0,0,0,0,0,9.3500,0.6500,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 07:10:59,OSVS6908000046,135.0000,140.0000,135.0000,0,0,0,0,0,0,0,126.1700,8.8300,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 09:51:23,OSVS6908000063,318.0000,320.0000,318.0000,0,0,0,0,0,0,0,304.7200,13.2800,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:17:08,OSVS6908000033,189.0000,0,0,0,0,0,189.0000,0,0,0,177.8100,11.1900,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 04:00:21,OSVS6908000001,110.0000,110.0000,110.0000,0,0,0,0,0,0,0,102.8000,7.2000,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 05:11:48,OSVS6908000012,12.0000,12.0000,12.0000,0,0,0,0,0,0,0,11.2100,0.7900,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 05:31:49,OSVS6908000018,178.0000,200.0000,178.0000,0,0,0,0,0,0,0,166.3600,11.6400,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:41:51,OSVS6908000038,31.0000,100.0000,31.0000,0,0,0,0,0,0,0,28.9700,2.0300,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:48:55,OSVS6908000040,804.0000,0,0,0,0,0,804.0000,0,0,0,754.9300,49.0700,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:50:22,OSVS6908000041,62.0000,502.0000,62.0000,0,0,0,0,0,0,0,59.1200,2.8800,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 07:34:15,OSVS6908000050,28.0000,28.0000,28.0000,0,0,0,0,0,0,0,26.1700,1.8300,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:00:38,OSVS6908000028,198.0000,200.0000,198.0000,0,0,0,0,0,0,0,185.0500,12.9500,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 04:32:40,OSVS6908000006,469.0000,0,0,0,0,0,469.0000,0,0,0,438.3200,30.6800,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 04:09:49,OSVS6908000003,145.0000,145.0000,145.0000,0,0,0,0,0,0,0,143.0400,1.9600,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 09:47:32,OSVS6908000062,550.0000,550.0000,550.0000,0,0,0,0,0,0,0,514.0200,35.9800,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 05:57:59,OSVS6908000026,46.0000,0,0,0,0,0,46.0000,0,0,0,45.3500,0.6500,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 05:35:04,OSVS6908000019,274.0000,500.0000,274.0000,0,0,0,0,0,0,0,259.6100,14.3900,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 08:38:37,OSVS6908000060,276.0000,276.0000,276.0000,0,0,0,0,0,0,0,276.0000,0,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 04:59:51,OSVS6908000009,12.0000,12.0000,12.0000,0,0,0,0,0,0,0,11.2100,0.7900,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 05:57:21,OSVS6908000025,135.0000,150.0000,135.0000,0,0,0,0,0,0,0,126.1700,8.8300,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 05:03:36,OSVS6908000010,55.0000,55.0000,55.0000,0,0,0,0,0,0,0,51.4000,3.6000,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 05:20:55,OSVS6908000015,41.0000,41.0000,41.0000,0,0,0,0,0,0,0,38.3200,2.6800,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:39:34,OSVS6908000037,102.0000,500.0000,102.0000,0,0,0,0,0,0,0,97.0300,4.9700,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 07:39:54,OSVS6908000051,101.0000,102.0000,101.0000,0,0,0,0,0,0,0,94.3900,6.6100,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 10:29:33,OSVS6908000066,12.0000,12.0000,12.0000,0,0,0,0,0,0,0,11.2100,0.7900,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 09:53:27,OSVS6908000064,16.0000,16.0000,16.0000,0,0,0,0,0,0,0,14.9500,1.0500,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 07:00:14,OSVS6908000044,120.0000,120.0000,120.0000,0,0,0,0,0,0,0,113.3300,6.6700,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:53:01,OSVS6908000042,34.0000,40.0000,34.0000,0,0,0,0,0,0,0,31.7800,2.2200,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:24:47,OSVS6908000035,51.0000,100.0000,51.0000,0,0,0,0,0,0,0,48.8400,2.1600,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 08:16:44,OSVS6908000059,25.0000,25.0000,25.0000,0,0,0,0,0,0,0,23.3600,1.6400,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 04:03:58,OSVS6908000002,43.0000,43.0000,43.0000,0,0,0,0,0,0,0,41.3600,1.6400,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 06:04:29,OSVS6908000030,169.0000,0,0,0,0,0,169.0000,0,0,0,157.9400,11.0600,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 07:21:23,OSVS6908000047,46.0000,46.0000,46.0000,0,0,0,0,0,0,0,42.9900,3.0100,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
ตลาดเทศบาล,1,0,เทศบาล,1,5/8/2026 05:54:37,OSVS6908000024,203.0000,0,0,0,0,0,203.0000,0,0,0,189.7200,13.2800,0,0,0,1,-1,5,65,,05/08/2569,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด
